id,name,link,sub_type,resource_type,description,location,ownership_required,income_eligibility,building_age_req,home_type,gov_lvl,contractor_required,amount,notes,steps
1,Home Renovation savings,https://www.homerenovationsavings.ca/without-assessment,Rebate,"Solar, heat",Government gives you rebates for making your home more energy efficient ,Ontario,Yes,,Must have occupied for 6 months,"Single detached, semi-detached, townhomes, mobile homes on permanent foundation",Provincial ,Yes,Visit site,"Be an Enbridge Gas customer with an active account and primarily heat your home with a natural gas furnace or boiler OR be connected to the Ontario electricity grid and heat your home with electricity, propane, oil or wood.
","1) Confirm you are an Enbridge Gas customer in Ontario and that your home type is eligible (detached, semi-detached, townhouse, or mobile home on a permanent foundation).
2) Review the list of eligible upgrades (e.g., heat pump, improved heating system, insulation, smart controls) and decide which ones you plan to complete.
3) Gather required documents: government-issued ID, proof of address, proof of home ownership (property tax bill or mortgage statement), and your Enbridge account number.
4) Complete the online application on the Home Renovation Savings website and, where required, book a pre-upgrade home energy assessment.
5) Hire a qualified contractor to complete the approved upgrades and make sure you obtain detailed invoices showing work performed, dates, and equipment model numbers.
6) Once work is completed, submit your rebate claim through the program portal, including invoices, photos if requested, and any energy assessment reports, then wait for confirmation and payment."
2,Ontario Electricity Rebate,https://www.ontario.ca/page/manage-energy-costs-your-home#section-1,Rebate,Electricity ,A long-term rebate applied directly on electricity bills,Ontario,No ( for electricity customers),,,"Household, Farms, Longterm care homes, Small businesses",Provincial ,No,13.10%,"Already applied automatically for most customers. Get credits on your bill through programs based on your location and income.

Most residential consumers, farms and many small businesses in Ontario will receive a reduction on their bill through the Ontario Electricity Rebate. You may also receive further reductions on your bill if you're a customer of:

Hydro One (low and medium density customers)
Northern Ontario Wires
Chapleau Public Utilities Corporation
Sioux Lookout Hydro
InnPower
Atikokan Hydro
Algoma Power
The credit you receive will vary depending on your distribution company. Starting November 1, 2019, if you receive support through more than one provincial program, you will also see a separate message that summarizes the total Ontario support provided to help reduce your hydro bill.

The RRRP program is designed to support eligible customers in rural or remote areas with electricity costs, where the costs of distributing electricity to these customers are higher. The RRRP revenue allows rural and remote electricity distributors to reduce the amount they would otherwise have to charge eligible customers for distribution service.","1) Check that your household has an electricity account in Ontario and meets the residential eligibility criteria for the Ontario Electricity Rebate.
2) Gather relevant account information: your electricity bill (showing account number and service address) and, if applicable, documents confirming that the property is a qualifying residence (e.g., tax bill or lease).
3) Review your existing bill to see if the Ontario Electricity Rebate is already being applied automatically; many residential customers already receive it.
4) If the rebate is not showing, complete the Ontario Electricity Rebate application form provided by your local utility or the provincial website, attaching requested documents.
5) Submit the form to your utility by email, mail, or their online portal and monitor your next bills to confirm that the rebate has been added as a separate line item."
3,Energy Affordibility Program,https://www.ontario.ca/page/manage-energy-costs-your-home#section-1,Free assistance + Upgrades,Electricity/ Efficiency ,"The Energy Affordability Program provides personalized, free electricity-saving measures to help with your home electricity bills. Through the program, participating households can reduce their electricity bills by between $100 and $750 per year, depending on eligibility, and increase their home comfort.",Ontario,"Homeowners
Tenants (with the consent of building owner or manager)
Social housing providers
Income-eligible Indigenous people connected to the Independent Electricity System Operator (IESO)-controlled electricity grid, including within on-reserve First Nations communities","
Number of people in the home        Before-tax household income
1        $47,090
2        $66,595
3        $81,561
4        $94,179
5        $105,295
6        $115,345
7+        $124,586",,,Provincial ,"Yes — a trained energy professional comes to do an assessment, and upgrades are done via program delivery agents. ",Estimated $100-$750 in savings ,"To qualify, the participant must be: A resident of an eligible Social Housing property, OR An individual who owns, rents or leases a residence, is listed as the primary or secondary utility account holder, AND meets ONE of the following criteria: see income eldigbliity.

Received assistance from one of the following programs in the past 12 months: Allowance for Seniors, Allowance for the Survivor, Guaranteed Income Supplement, Healthy Smiles Ontario Child Dental Program, Home Winterproofing Program (HWP), Low-Income Energy Assistance Program (LEAP), Ontario Disability Support Program (ODSP), Ontario Electricity Support Program (OESP), Ontario Works","1) Visit the Energy Affordability Program information page and check low-income or priority household eligibility based on income, location, and housing status.
2) Collect supporting documents: your electricity bill, proof of income for all adult household members (e.g., Notice of Assessment, ODSP/OW statements), and a piece of photo ID.
3) Complete the program application online or by phone, providing household size, income details, and your utility account number.
4) Schedule a home visit or phone-based assessment with a program representative, who will recommend free energy-saving products or upgrades for your home.
5) Allow installation of the approved measures (such as LEDs, insulation, smart thermostat, or efficient appliances) and keep any documentation provided for your records."
4,Low-Income Energy Assistance Program (LEAP),https://www.oeb.ca/consumer-information-and-protection/bill-assistance-programs/low-income-energy-assistance-program,Grant,Electricity/gas bills,Provides emergency financial help for people behind on their electricity or natural gas bills,Ontario,No (bill account holders),Visit site,,,Provincial ,No,"Up to $650 for electricity and upto $780 if eletrically heated, $650 for natural gas bills",,"1) Confirm that your household is low-income, has fallen behind on electricity or gas bills, or is at risk of disconnection, and that your utility participates in LEAP.
2) Gather required documentation: recent electricity or gas bills, government-issued ID for the account holder, and proof of total household income (e.g., Notices of Assessment, pay stubs, or social assistance statements).
3) Contact the community agency or social service partner listed on your utility’s LEAP page to start an application, either by phone or in person.
4) Complete the LEAP application form with the agency worker, providing details about your household, income, and outstanding utility balance.
5) If approved, a one-time grant is sent directly to your utility on your behalf; monitor your account or next bill to confirm that the credit has been applied."
5,Ontario Electricity Support Program (OESP),https://ontarioelectricitysupport.ca/?lang=en/,On bill credit,Electricity bills,Monthly credit on electricity bills for low-income households,Ontaraio,No ( electricity account holder),Visit site,,Residential,Provincal,No,Visit site,,"1) Check whether your household meets the Ontario Electricity Support Program (OESP) income eligibility based on family size and combined income.
2) Collect the necessary documents: government-issued ID for the account holder, your electricity bill (showing account number), and income verification for all adult household members (e.g., CRA Notice of Assessment, ODSP or OW statements).
3) Apply online through the OESP website or complete a paper application with the help of a designated intake agency, making sure to list all residents and their incomes accurately.
4) Submit the application along with all required documents and respond to any follow-up requests from the program or intake agency.
5) After approval, a monthly OESP credit will automatically appear on your electricity bill; renew or update your application if your household circumstances change or when the program requires re-verification."
6,Peak Perks Program,https://saveonenergy.ca/For-Your-Home/Peak-Perks,Rebate / Reward,Electricity ,Incentive to reduce electricity use during peak periods by adjusting your smart thermostat,Ontario,"No, but requires having a smart thermostat + central A/C or heat pump (Ontario)",,,Homes with elidgible thermostat,Provincial ,Yes,$75 prepaid credit card for participating; +$20/year extra after 2024 if re-enrolled.,,"1) Visit the Peak Perks Program page and verify that your household has a compatible smart thermostat and that your utility or region is participating.
2) Gather basic information: your utility account number, thermostat brand and model, and login credentials for your thermostat app (e.g., Google Nest, Ecobee).
3) Enrol online by linking your smart thermostat to the Peak Perks or demand-response program, agreeing to occasional brief adjustments to your thermostat during peak periods.
4) Confirm your enrollment via email or in the program portal and ensure your thermostat stays connected to Wi-Fi so events can be scheduled.
5) Receive participation incentives or bill credits as outlined by the program while still being able to override temperature changes if needed."
7,Home Winterproofing Program,https://www.enbridgegas.com/ontario/rebates-energy-conservation/home-winterproofing-program?utm_source=google&utm_medium=search&utm_campaign=ENB-2059-Home-Winterproofing-Program-HWP-Q2-google-search-Standard&utm_id=ENB-2059&gad_source=1&gclid=CjwKCAjwps-zBhAiEiwALwsVYVfP95UHWgj6Lcgo3yVFOpXjVkvUtT5VgN9uFjJfSmlOdrZh7W55_xoC0BoQAvD_BwE,"Free upgrades (insulation and draft proofing, ETC.). Installation included",Natural Gas,"Helps low-income Enbridge Gas customers with free insulation, draft proofing, and smart thermostats",Customers of Enbridge Gas in Ontario,Yes,Visit site,,Residential,Provinical ,Yes,Not explicitly dollar rebate — free upgrades provided,,"1) Check eligibility for the Home Winterproofing Program: you must be an Enbridge Gas customer in Ontario and meet the program’s income or energy-usage criteria.
2) Collect documents: a recent Enbridge Gas bill, government-issued ID, and proof of income for all adults in the home (such as Notices of Assessment, ODSP/OW statements, or pay stubs).
3) Apply online or by phone through the Home Winterproofing Program, providing details about your home, heating system, and household income.
4) Schedule a home energy assessment with a program representative who will inspect insulation levels, air leakage, and heating efficiency.
5) Approve the recommended free upgrades (such as insulation, draft proofing, or a smart thermostat) and allow the program’s contractors to complete the work at no cost to you."
8,Tax Credits (Energy & Property Tax Credit / Northern Ontario Energy Credit),https://www.ontario.ca/page/ontario-trillium-benefit#section-3,Tax Credit,Property / Energy,Tax credits for low-to-moderate income Ontarians to help with energy and property tax costs,Ontario,Yes,Visit site,,,Prinvincal ,No ,"Up to $1,283 for the main program; up to $1,461 for eligible seniors. (Ontario)",,"1) Review the criteria for the Ontario Energy and Property Tax Credit or Northern Ontario Energy Credit and confirm that you qualify based on age, residency, rent or property tax paid, and income.
2) Gather documents: your T1 General tax return information, property tax or rent receipts, and details on energy costs if required.
3) When filing your income tax return, complete the ON-BEN form (Ontario Benefits) or the designated provincial section in your tax software.
4) Submit your tax return to the CRA; the credit will be calculated automatically and paid either as part of your tax refund or through periodic benefit payments if you are eligible."
9,First Nations / On-Reserve Conservation Programs,https://saveonenergy.ca/First-Nations-Energy-Programs,Free/Credit,Efficiency & Conservation,"Various energy-efficiency supports tailored for on-reserve First Nations (weatherization, conservation, billing credits)","Ontario- First Nations, on reserve",Yes,,,On-reserve homes or band-owned buildings,Provincial ,Yes — delivered by IESO through Save on Energy,,,"1) Check whether your community or First Nation is covered by the specific First Nations / On-Reserve Conservation Program offered by your local utility or provincial partner.
2) Work with your Band Council, housing department, or program coordinator to identify eligible homes and measures (such as efficient lighting, appliances, insulation, or heating upgrades).
3) Provide any requested information: household occupancy details, contact information, and consent forms allowing contractors to enter and complete work.
4) Allow program-approved contractors to carry out energy-saving upgrades in your home at no direct cost to you and keep any information or educational materials they provide for future reference."
10,Home Energy Loan Program,https://www.toronto.ca/services-payments/water-environment/environmental-grants-incentives/home-energy-loan-program-help/,Loan,"Energy efficiency / clean energy / retrofit: heat pumps, insulation, windows, solar PV, battery storage, EV charging, water heaters, etc.","A municipal program to help Toronto homeowners finance energy-efficient and low-carbon retrofits. Homeowners can borrow up to $125,000 to cover retrofit costs, repay via their property tax bill, and combine with other rebates & grants. ",City of Toronto,Yes,,,"Eligible: Detached, semi-detached, row house, duplex, triplex, or any low-rise residential building (max 3 storeys, up to 6 units",Municipal (Toronto),Yes,"Up to $125,000 per property","Fixed rates: (as of latest published) 5-year: 3.08%, 10-year: 3.92%, 15-year: 4.41%, 20-year: 4.67%. 

Repayment: Through your tax bill (11 payments per yea). The load is attached to the property ( not the owner), so if you sell, The new owner assumes the loan.

Additonal Incentives/Payments: Rooftop Solar PV - $1000 incentive.","1) Confirm that your property is located in a participating municipality and that your planned upgrades (e.g., insulation, windows, heat pump, solar PV, battery storage, EV charger) are eligible under the Home Energy Loan Program.
2) Gather required documents: proof of property ownership (tax bill or land registry), recent utility bills, and details or quotes for the proposed retrofit work.
3) Complete the loan or financing application through the municipality’s website, providing information about your home, planned upgrades, and requested loan amount.
4) Once pre-approved, arrange for a home energy assessment if required and hire qualified contractors to install the approved upgrades.
5) After the work is completed, submit final invoices and, where required, an updated energy report so that the loan can be finalized and repayment added to your property tax bill or agreed schedule."
11,Canada Greener Homes Grant,https://natural-resources.canada.ca/energy-efficiency/home-energy-efficiency/canada-greener-homes-initiative/canada-greener-homes-grant,Grant,"Energy-efficiency retrofits (insulation, air-sealing, windows, doors, thermostats), heat pumps (air-source, ground-source), heat-pump water heaters, solar PV, resiliency measures (e.g., batteries)",Provides financial support (grant) to homeowners to complete pre- and post-retrofit EnerGuide evaluations and make energy-efficient or low-carbon retrofits to their homes.,Canada,Yes,,"Retrofits must be done after December 1, 2020. Pre-retrofit evaluation must be newer than April 1, 2020 if you want to participate.","Eligible property types: existing single and semi-detached homes, row housing / townhomes, mobile homes on a permanent foundation, low-rise multi-unit residential buildings (3 storeys or less).",Federal,Yes,Visit site,,"1) Verify your eligibility for the Canada Greener Homes Grant by confirming that you own the home, it is your primary residence in Canada, and it fits the eligible building types (detached, semi-detached, row housing, or small multi-unit).
2) Book a pre-retrofit EnerGuide home energy evaluation with a registered energy advisor and keep the evaluation number and report they provide.
3) Decide which recommended retrofits you will complete (e.g., insulation, air sealing, windows and doors, heat pump, heat pump water heater, solar PV, battery storage, or other eligible measures).
4) Hire qualified contractors to perform the chosen upgrades, making sure to keep all detailed invoices, receipts, and product documentation (including model and serial numbers).
5) After the work is done, schedule a post-retrofit energy evaluation with the same or another registered advisor, then submit your grant application online with both audit reports and all invoices.
6) Monitor your application status in the online portal and receive the grant funds by direct deposit or cheque once your file has been reviewed and approved."
